step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
228,0.09627,0.94444,,
229,0.14771,0.96296,,
230,0.04024,0.98148,,
231,0.03717,1.0,,
232,0.10138,0.96296,,
233,0.07225,0.98148,,
234,0.00192,1.0,,
235,0.00594,1.0,,
236,0.09966,0.96296,,
237,0.02869,0.98148,,
238,0.0379,0.98148,,
239,0.01649,1.0,,
240,0.10611,0.94444,,
241,0.04919,0.96296,,
242,0.03585,1.0,,
243,0.01548,1.0,,
244,0.10844,0.96296,,
245,0.00631,1.0,,
246,0.17836,0.92593,,
247,0.00101,1.0,,
248,0.06994,0.96296,,
249,0.05348,0.98148,,
250,0.0938,0.96296,,
251,0.01435,1.0,,
252,0.08303,0.96296,,
253,0.07522,0.98148,,
254,0.08726,0.96296,,
255,0.09202,0.96296,,
256,0.19043,0.92593,,
257,0.07105,0.96296,,
258,0.10864,0.96296,,
259,0.00309,1.0,,
260,0.1917,0.96296,,
261,0.18936,0.96296,,
262,0.01149,1.0,,
263,0.22117,0.96296,,
264,0.1501,0.96296,,
265,0.0302,0.98148,,
266,0.20497,0.94444,,
267,0.12481,0.94444,,
268,0.09178,0.96296,,
269,0.00542,1.0,,
270,0.0181,1.0,,
271,0.01018,1.0,,
272,0.00332,1.0,,
273,0.07028,0.98148,,
274,0.09498,0.98148,,
275,0.03254,0.98148,,
276,0.14067,0.96296,,
277,0.13087,0.96296,,
278,0.06571,0.98148,,
279,0.07162,0.98148,,
280,0.04759,0.96296,,
281,0.02198,1.0,,
282,0.03391,0.98148,,
283,0.07995,0.98148,,
284,0.01861,0.98148,,
285,0.05708,0.98148,,
286,0.00581,1.0,,
287,0.02972,0.98148,,
288,0.02132,0.98148,,
289,0.00719,1.0,,
290,0.07105,0.98148,,
291,0.07345,0.98148,,
292,0.13137,0.96296,,
293,0.00215,1.0,,
294,0.24068,0.94444,,
295,0.00067,1.0,,
296,0.16513,0.94444,,
297,0.00161,1.0,,
298,0.01823,1.0,,
299,0.00741,1.0,,
300,0.03418,0.96296,,
301,0.00769,1.0,0.00154,0.66667
302,0.11971,0.98148,,
303,0.04334,0.98148,,
304,0.06891,0.98148,,
305,0.00203,1.0,,
306,0.07073,0.98148,,
307,0.02897,0.98148,,
308,0.14037,0.96296,,
309,0.0036,1.0,,
310,0.17497,0.96296,,
311,0.00603,1.0,,
312,0.08102,0.96296,,
313,0.01774,1.0,,
314,0.00119,1.0,,
315,0.1594,0.96296,,
316,0.01098,1.0,,
317,0.00264,1.0,,
318,0.08954,0.98148,,
319,0.015,1.0,,
320,0.00135,1.0,,
321,0.00019,1.0,,
322,0.05018,0.96296,,
323,0.08587,0.96296,,
324,0.08728,0.98148,,
325,0.00024,1.0,,
326,0.00699,1.0,,
327,0.0018,1.0,,
328,0.08676,0.98148,,
329,0.09359,0.98148,,
330,0.00036,1.0,,
331,0.19638,0.98148,,
332,0.00884,1.0,,
333,0.03364,0.98148,,
334,0.26882,0.92593,,
335,0.01654,1.0,,
336,0.00567,1.0,,
337,0.0062,1.0,,
338,0.12137,0.96296,,
339,0.14886,0.98148,,
340,0.00031,1.0,,
341,0.09235,0.98148,,
342,0.32242,0.96296,,
343,0.14484,0.98148,,
344,0.04566,0.98148,,
345,0.20248,0.96296,,
346,0.01976,1.0,,
347,0.04754,0.98148,,
348,0.02216,0.98148,,
349,0.01069,1.0,,
350,0.1218,0.98148,,
351,0.00268,1.0,,
352,0.09306,0.96296,,
353,0.00234,1.0,,
354,0.06419,0.98148,,
355,0.46787,0.92593,,
356,0.00159,1.0,,
357,0.07229,0.98148,,
358,0.02451,0.98148,,
359,0.2025,0.98148,,
360,0.02031,1.0,,
361,0.02918,0.98148,,
362,0.16148,0.94444,,
363,0.0011,1.0,,
364,0.17526,0.96296,,
365,0.00237,1.0,,
366,0.13596,0.94444,,
367,0.00149,1.0,,
368,0.23062,0.94444,,
369,0.00852,1.0,,
370,0.05331,0.98148,,
371,0.02019,0.98148,,
372,0.09713,0.96296,,
373,0.0137,1.0,,
374,0.23498,0.96296,,
375,0.03031,0.98148,,
376,0.04092,0.98148,,
377,0.00241,1.0,,
378,0.12734,0.98148,,
379,0.1016,0.98148,,
380,0.06475,0.98148,,
381,0.14436,0.96296,,
382,0.0017,1.0,,
383,0.01811,0.98148,,
384,0.08049,0.98148,,
385,0.14694,0.98148,,
386,0.20785,0.96296,,
387,0.01426,1.0,,
388,0.00193,1.0,,
389,0.11572,0.96296,,
390,0.00972,1.0,,
391,0.0489,0.98148,,
392,0.17406,0.96296,,
393,0.04003,0.98148,,
394,0.06718,0.98148,,
395,0.02337,1.0,,
396,0.17248,0.92593,,
397,0.02082,1.0,,
398,0.02159,0.98148,,
399,0.10302,0.98148,,
400,0.00487,1.0,,
401,0.00813,1.0,0.01192,0.66667
402,0.00061,1.0,,
403,0.05822,0.96296,,
404,0.08616,0.96296,,
405,0.09084,0.98148,,
406,0.00287,1.0,,
407,0.00316,1.0,,
408,0.00286,1.0,,
409,0.08917,0.96296,,
410,0.03685,0.98148,,
411,0.03564,0.98148,,
412,0.14283,0.96296,,
413,0.22272,0.96296,,
414,0.09509,0.96296,,
415,0.14124,0.98148,,
416,0.16761,0.96296,,
417,0.00126,1.0,,
418,0.00064,1.0,,
419,0.00421,1.0,,
420,0.08099,0.98148,,
421,0.06045,0.96296,,
422,0.06968,0.98148,,
423,0.14729,0.98148,,
